microservice, begin request time, end request time, client ip, client port, function, microservice instance
songs-ms, 2018-05-27 15:12:15.421000, 2018-05-27 15:12:16.213000, 172.18.0.9, 50618, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.422000, 2018-05-27 15:12:16.291000, 172.18.0.9, 50630, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.424000, 2018-05-27 15:12:16.219000, 172.18.0.9, 50632, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.401000, 2018-05-27 15:12:16.238000, 172.18.0.9, 50596, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.401000, 2018-05-27 15:12:16.241000, 172.18.0.9, 50600, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.430000, 2018-05-27 15:12:16.288000, 172.18.0.9, 50636, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.432000, 2018-05-27 15:12:16.250000, 172.18.0.9, 50638, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.435000, 2018-05-27 15:12:16.298000, 172.18.0.9, 50644, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.436000, 2018-05-27 15:12:16.303000, 172.18.0.9, 50664, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.436000, 2018-05-27 15:12:16.301000, 172.18.0.9, 50650, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.434000, 2018-05-27 15:12:16.310000, 172.18.0.9, 50656, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.440000, 2018-05-27 15:12:16.311000, 172.18.0.9, 50662, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.442000, 2018-05-27 15:12:16.306000, 172.18.0.9, 50654, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.444000, 2018-05-27 15:12:16.313000, 172.18.0.9, 50640, GET -> songs-ms/songs, 598b9f73b150:5001
